senator,ticker,owner,type,transaction_date
"David A Perdue , Jr",CZR,Joint,Sale (Partial),2/28/2020
"David A Perdue , Jr",DD,Joint,Purchase,2/27/2020
"David A Perdue , Jr",PFE,Joint,Purchase,2/27/2020
"David A Perdue , Jr",DD,Joint,Purchase,2/27/2020
"David A Perdue , Jr",DAL,Joint,Purchase,2/27/2020
"David A Perdue , Jr",PFE,Joint,Purchase,2/27/2020
"David A Perdue , Jr",DD,Joint,Purchase,2/27/2020
"David A Perdue , Jr",CZR,Joint,Sale (Partial),2/27/2020
"David A Perdue , Jr",CZR,Joint,Sale (Partial),2/27/2020
"David A Perdue , Jr",CZR,Joint,Sale (Partial),2/27/2020
"David A Perdue , Jr",PFE,Joint,Purchase,2/26/2020
"David A Perdue , Jr",PFE,Joint,Purchase,2/26/2020
"David A Perdue , Jr",CZR,Joint,Sale (Partial),2/26/2020
"David A Perdue , Jr",GPK,Joint,Purchase,2/26/2020
"David A Perdue , Jr",CZR,Joint,Sale (Partial),2/26/2020
"David A Perdue , Jr",DD,Joint,Purchase,2/26/2020
"David A Perdue , Jr",PFE,Joint,Purchase,2/26/2020
"David A Perdue , Jr",DD,Joint,Purchase,2/26/2020
"David A Perdue , Jr",T,Joint,Sale (Full),2/26/2020
"David A Perdue , Jr",VIAC,Joint,Purchase,2/26/2020
"David A Perdue , Jr",T,Joint,Sale (Partial),2/26/2020
"David A Perdue , Jr",--,Joint,Purchase,2/26/2020
"David A Perdue , Jr",DIS,Joint,Purchase,2/26/2020
"David A Perdue , Jr",CZR,Joint,Sale (Partial),2/25/2020
"David A Perdue , Jr",FEYE,Joint,Purchase,2/25/2020
"David A Perdue , Jr",GPK,Joint,Purchase,2/25/2020
"David A Perdue , Jr",DAL,Joint,Purchase,2/25/2020
"David A Perdue , Jr",T,Joint,Sale (Partial),2/25/2020
"David A Perdue , Jr",VIAC,Joint,Purchase,2/25/2020
"David A Perdue , Jr",DVN,Joint,Purchase,2/25/2020
"David A Perdue , Jr",T,Joint,Sale (Partial),2/25/2020
"David A Perdue , Jr",T,Joint,Sale (Partial),2/25/2020
"David A Perdue , Jr",CZR,Joint,Sale (Partial),2/25/2020
"David A Perdue , Jr",T,Joint,Sale (Partial),2/25/2020
"David A Perdue , Jr",VIAC,Joint,Purchase,2/25/2020
"David A Perdue , Jr",T,Joint,Sale (Partial),2/24/2020
"David A Perdue , Jr",CZR,Joint,Sale (Partial),2/24/2020
"David A Perdue , Jr",VIAC,Joint,Purchase,2/24/2020
"David A Perdue , Jr",TRP,Joint,Purchase,2/24/2020
"David A Perdue , Jr",T,Joint,Sale (Partial),2/24/2020
